problem_id,time_limit,memory_limit,difficulty,tags
1,1000,65536,1,"[""A+B Problem""]"
2,1000,65536,1,"[""Mathematical Computation""]"
3,1000,65536,3,"[""Array""]"
4,1000,65536,1,"[""Input and Output"",""String""]"
5,1000,65536,4,"[""String"",""Mathematical Computation"",""High Accuracy""]"
6,1000,65536,2,"[""Brute Force""]"
7,1000,65536,2,"[""Input and Output""]"
8,1000,65536,2,"[""Mathematical Computation""]"
9,1000,65536,0,"[""Hanoi Tower Problem""]"
10,1000,65536,5,"[""Recursion"",""Fibonacci Sequence""]"
11,1000,65536,5,"[""Method of Successive Division""]"
12,1000,65536,4,"[""Horner's Rule""]"
13,1000,65536,4,"[""A+B Problem""]"
14,1000,65536,0,"[""Inverted Order Pair""]"
15,1000,65536,0,"[""Bubble Sort""]"
17,1000,65536,1,"[""A+B Problem""]"
18,1000,65536,1,"[""Basic Code""]"
19,1000,65536,1,"[""Complementation;\ncomplementation""]"
20,1000,65536,1,"[""A+B Problem""]"
21,1000,65536,2,"[""Decision""]"
22,1000,65536,1,"[""Escape String""]"
23,1000,65536,1,"[""Mathematical Computation"",""Complementation;\ncomplementation""]"
24,1000,65536,3,"[""Simulation"",""Mathematical Computation"",""Complementation;\ncomplementation""]"
25,1000,65536,0,"[""Prime Number""]"
26,1000,65536,2,"[""Mathematical Computation""]"
27,1000,65536,0,[]
28,1000,65536,0,"[""Narcissistic Number""]"
29,1000,65536,0,"[""Complex""]"
30,1000,65536,3,"[""Greatest Common Divisor""]"
31,1000,65536,2,"[""Complementation;\ncomplementation""]"
32,1000,65536,0,"[""Basic Code""]"
33,1000,65536,5,"[""Computing Geometry""]"
34,1000,65536,4,"[""Mathematical Computation""]"
35,1000,65536,4,"[""Mathematical Computation""]"
36,5000,65536,2,"[""Mathematical Computation""]"
37,1000,65536,1,"[""Mathematical Computation""]"
38,2000,65536,4,"[""Priority Queue""]"
39,1000,65536,5,"[""Binary Searching""]"
40,1500,65536,5,"[""Divide and Conquer""]"
41,1000,65536,3,"[""Mathematical Computation""]"
42,1000,65536,2,"[""Mathematical Computation""]"
43,1000,65536,3,"[""Recursion""]"
44,1000,65536,1,"[""Basic Code""]"
45,1000,65536,3,"[""Decision""]"
46,1000,65536,2,"[""Decision""]"
47,1000,65536,2,"[""Mathematical Computation"",""Complementation;\ncomplementation""]"
48,1000,65536,2,"[""Input and Output"",""Loop Program""]"
49,1000,65536,3,"[""Greatest Common Divisor""]"
50,350,65536,3,"[""Sort""]"
51,2500,65536,3,"[""Dynamic Programming"",""0-1 Knapsack Problem""]"
52,1000,65536,6,"[""Graph Theory"",""Dijkstra Algorithm""]"
53,1000,65536,2,"[""Mathematical Computation""]"
54,1000,65536,3,"[""String""]"
55,1000,65536,3,"[""Mathematical Computation"",""Derangement""]"
56,10000,65536,1,"[""Mathematical Computation""]"
57,5000,65536,3,"[""Mathematical Computation""]"
64,1000,65536,4,"[""Graph Theory"",""Pipeline Scheduling""]"
65,1000,65536,4,"[""Priority Queue""]"
66,1500,65536,8,"[""Simulation"",""Mathematical Computation""]"
67,200,65536,6,"[""Recall"",""Simulation"",""Brute Force""]"
68,500,5000,7,"[""Date and Time Calculation""]"
69,1000,65536,5,"[""Greatest Common Divisor"",""Mathematical Computation""]"
70,1000,65536,4,"[""String""]"
71,1000,65536,2,"[""Loop Program"",""Decision""]"
72,1000,65536,3,"[""String""]"
73,1000,65536,2,"[""String""]"
74,1000,65536,4,"[""Date and Time Calculation""]"
75,1000,65536,3,"[""String""]"
76,1000,65536,5,"[""Mathematical Computation"",""Prime Number""]"
77,1000,65536,7,"[""Number Theory""]"
78,1000,65536,2,[]
79,1000,65536,7,"[""String"",""String Matching""]"
80,1000,65536,3,"[""String""]"
81,1000,65536,4,"[""Loop Program""]"
83,1000,65536,4,"[""Loop Program"",""Decision""]"
84,8000,65536,4,"[""Mathematical Computation"",""Prime Number""]"
85,1000,65536,6,"[""Recursion"",""Mathematical Computation""]"
86,1000,65536,5,"[""Recursion"",""Mathematical Computation""]"
87,1000,65536,3,"[""Greatest Common Divisor"",""Mathematical Computation""]"
88,1000,65536,2,"[""Array""]"
89,10000,204800,4,"[""Longest Common Subsequence""]"
90,1000,65536,4,"[""String""]"
91,1000,65536,4,"[""Mathematical Computation""]"
92,1000,65536,6,"[""Mathematical Computation""]"
93,1000,65536,4,"[""Date and Time Calculation""]"
94,1000,65536,7,"[""Recurrence"",""Hanoi Tower Problem""]"
95,1000,65536,3,"[""Mathematical Computation"",""Mathematical Geometry""]"
96,1000,65536,6,"[""Longest Common Subsequence""]"
97,1000,65536,6,[]
98,1000,65536,4,"[""Decision""]"
99,1000,65536,8,"[""Floyd-Warshall Algorithm"",""Deep First Search(DFS)""]"
100,2000,65536,4,"[""Complete Pack""]"
101,2000,65536,4,"[""Knapsack Problem""]"
102,1000,65536,4,"[""Matrix/Determinant""]"
103,1000,65536,0,[]
104,1000,65536,0,[]
105,1000,65536,0,[]
106,10000,65536,3,[]
107,10000,65536,5,[]
108,1000,65536,1,[]
109,1100,65536,6,"[""Escape String""]"
110,1000,131072,0,[]
111,1000,65536,2,[]
112,1000,65536,4,"[""Recurrence""]"
113,1000,65536,3,[]
114,1000,65536,4,[]
115,1000,65536,6,[]
116,1000,65536,2,"[""Recurrence""]"
117,1000,65536,3,[]
118,500,65536,2,"[""Binary System""]"
119,1000,65536,4,[]
120,1000,65536,0,[]
121,1000,131072,0,[]
122,1000,65536,5,"[""Multiple Choice Knapsack""]"
123,1000,65536,0,"[""Multiple Choice Knapsack""]"
124,1000,65536,0,[]
125,1000,65536,1,"[""0-1 Knapsack Problem""]"
126,1000,65536,3,"[""String"",""String Matching""]"
127,1000,65536,2,[]
128,1000,65536,7,[]
129,1000,65536,4,"[""String""]"
130,1000,65536,7,[]
131,1000,65536,3,[]
132,1000,65536,3,[]
133,1000,65536,5,[]
134,1500,65536,3,[]
135,1000,65536,3,[]
136,1000,65536,4,[]
137,1000,65536,3,[]
138,1000,65536,5,[]
139,1000,65536,2,[]
140,1000,65536,0,[]
141,5000,200000,7,[]
142,1000,65536,1,[]
143,1000,65536,3,[]
144,1000,65536,0,[]
145,1000,65536,0,[]
146,1000,65536,0,[]
147,1000,65536,0,[]
148,1000,65536,6,[]
149,1000,65536,3,"[""String""]"
151,1000,65536,0,[]
152,1000,65536,5,[]
153,1000,65536,6,[]
154,1000,65536,3,[]
155,1000,65536,5,[]
156,1000,65536,4,[]
157,1000,65536,3,[]
158,1000,65536,4,[]
159,1000,65536,4,[]
160,1000,65536,8,[]
161,1000,65536,4,[]
162,1000,65536,8,[]
163,1000,65536,4,[]
164,1000,65536,8,[]
165,1000,65536,7,[]
166,1000,65536,8,[]
167,1000,65536,0,[]
168,1000,65536,6,[]
169,1000,65536,6,[]
170,10,5000,4,"[""Array""]"
171,1000,65536,5,"[""Sort""]"
172,1000,65536,4,"[""Array""]"
173,1000,65536,5,[]
175,1000,65536,3,[]
176,1000,65536,5,[]
177,1000,65536,2,[]
178,1000,65536,6,[]
179,1000,65536,5,[]
180,1000,65536,2,[]
181,1000,65536,4,[]
182,1000,65536,4,[]
183,1000,65536,5,[]
184,10,5000,8,"[""Array""]"
185,1000,65536,5,[]
186,1000,65536,2,[]
187,20000,65536,7,[]
188,1000,65536,3,[]
189,1000,65536,2,[]
190,1000,65536,0,[]
191,1000,65536,0,"[""Max-flow""]"
192,1000,65536,4,[]
193,1000,65536,4,[]
194,1000,65536,2,[]
195,1000,65536,3,[]
196,1000,65536,4,[]
197,1000,65536,5,[]
198,3000,131072,0,[]
199,3000,131072,0,[]
200,2000,131072,0,[]
201,2000,131072,0,[]
202,2000,131072,0,[]
203,1000,131072,0,[]
204,4000,131072,0,[]
205,1000,131072,0,[]
206,2000,131072,0,[]
207,5000,65536,0,[]
209,6000,131072,0,[]
210,425,65536,0,[]
211,3000,131072,0,[]
212,1000,65536,0,[]
213,1500,65536,0,[]
214,1000,131072,0,[]
215,1000,131072,0,[]
216,1000,65536,0,[]
217,5000,131072,0,[]
218,1000,131072,0,[]
219,2000,131072,0,[]
220,1000,65536,4,[]
221,1000,65536,6,[]
222,1000,65536,6,"[""Array""]"
223,1000,65536,8,[]
224,1000,65536,4,[]
225,1000,65536,4,[]
226,1000,65536,2,[]
227,3000,131072,0,[]
228,1000,131072,0,[]
229,1000,65536,8,[]
230,1000,65536,8,[]
231,1000,65536,6,[]
232,1000,65536,4,[]
233,1000,65536,4,[]
234,1000,65536,7,[]
235,1000,65536,5,[]
236,1000,65536,3,"[""Bubble Sort""]"
237,1000,65536,9,[]
238,1000,65536,0,[]
239,1000,65536,0,"[""Convex Closure""]"
240,1000,65536,0,[]
241,100,65536,0,[]
242,300,65536,0,[]
243,100,65536,0,[]
244,300,65536,0,[]
245,2500,5120,8,"[""Array""]"
246,1000,65536,3,[]
247,1000,65536,3,"[""Binary Problem""]"
248,1000,65536,0,[]
249,1000,65536,7,[]
250,500,65536,0,"[""Quick Sort""]"
251,500,65536,0,[]
252,1000,65536,0,[]
253,1000,65536,0,[]
254,1000,65536,0,[]
255,1000,65536,0,[]
256,1000,65536,0,"[""Stack""]"
257,1000,65536,0,[]
258,1000,65536,0,[]
259,1000,65536,0,[]
260,1000,65536,0,[]
261,1000,65536,0,[]
262,1000,65536,0,"[""Complex""]"
263,1000,65536,0,[]
264,1009,65536,0,[]
265,1000,65536,0,"[""Stack""]"
266,1000,65536,0,[]
267,1000,90000,0,[]
268,1000,65536,0,[]
269,1000,65536,0,[]
270,1000,65536,0,"[""Queue""]"
271,1000,65536,0,"[""Queue""]"
272,1000,65536,0,[]
273,1000,65536,3,"[""Sort"",""Data Structure""]"
274,1000,65536,0,[]
275,800,20000,0,[]
276,100,3000,2,"[""Number Theory""]"
277,1000,65536,0,[]
278,1000,65536,0,[]
279,1000,65536,0,[]
280,1000,65536,0,[]
281,1000,65536,0,[]
