variant,model,accuracy,precision,recall,f1,roc_auc,brier
strict,dummy_most_frequent,0.50795,0.0,0.0,0.0,,
strict,dummy_stratified,0.5006833333333334,0.4926346374755051,0.49388612268400905,0.4932595862722214,,
strict,logreg,0.6832166666666667,0.6811729033147268,0.6696135216610778,0.6753437526688871,0.7497045539193875,0.20317645791734965
strict,svm_linear,0.68325,0.6814449351366271,0.6690038275243031,0.6751670740253303,,
strict,tree,0.67425,0.6717620326378847,0.6609084442637944,0.6662910413358603,,
leaky,dummy_most_frequent,0.50795,0.0,0.0,0.0,,
leaky,dummy_stratified,0.5006833333333334,0.4926346374755051,0.49388612268400905,0.4932595862722214,,
leaky,logreg,0.6869333333333333,0.6810045508174617,0.6842800528401585,0.6826383726431033,0.7542270050180275,0.20127432906563456
leaky,svm_linear,0.6871666666666667,0.6811672338848266,0.6847203874944958,0.6829391891891892,,
leaky,tree,0.6787833333333333,0.6757544581618655,0.6674457202858788,0.6715743912206261,,
