strategy,k,hit_at_k_all,precision_at_k_all,hit_at_k_active,precision_at_k_active,recall_at_k_ac_users,ndcg_at_k_ac_users,users_all,users_active,users_with_test_ac,growth_band,cutoff_submission_id,random_seed
easy_first,1,0.003,0.003,0.003,0.003,0.00010516015954157098,0.003003003003003003,1000,1000,999,"[0.4,0.7]",240000,42
easy_first,3,0.007,0.002333333333333333,0.007,0.002333333333333333,0.00017965706651217904,0.0024102464244927617,1000,1000,999,"[0.4,0.7]",240000,42
easy_first,5,0.007,0.0014,0.007,0.0014,0.00017965706651217904,0.0017419491376034035,1000,1000,999,"[0.4,0.7]",240000,42
easy_first,10,0.017,0.0017000000000000001,0.017,0.0017000000000000001,0.0005321092245198926,0.001851974396890419,1000,1000,999,"[0.4,0.7]",240000,42
model_growth,1,0.004,0.004,0.004,0.004,0.0001698594018855457,0.004004004004004004,1000,1000,999,"[0.4,0.7]",240000,42
model_growth,3,0.014,0.004666666666666666,0.014,0.004666666666666666,0.0004758547255040616,0.004596760582514244,1000,1000,999,"[0.4,0.7]",240000,42
model_growth,5,0.035,0.0074,0.035,0.0074,0.0011734376536624961,0.006521476347144244,1000,1000,999,"[0.4,0.7]",240000,42
model_growth,10,0.082,0.01,0.082,0.01,0.0033187067512594317,0.008755029126565667,1000,1000,999,"[0.4,0.7]",240000,42
model_maxprob,1,0.003,0.003,0.003,0.003,0.00010616333211614519,0.003003003003003003,1000,1000,999,"[0.4,0.7]",240000,42
model_maxprob,3,0.005,0.0016666666666666666,0.005,0.0016666666666666666,0.00015780227264397458,0.0018789938979890148,1000,1000,999,"[0.4,0.7]",240000,42
model_maxprob,5,0.008,0.0018000000000000002,0.008,0.0018000000000000002,0.00030961948522904885,0.0019279789270619874,1000,1000,999,"[0.4,0.7]",240000,42
model_maxprob,10,0.019,0.0021000000000000003,0.019,0.0021000000000000003,0.0006460434117293357,0.002105356494803104,1000,1000,999,"[0.4,0.7]",240000,42
popular_train,1,0.058,0.058,0.058,0.058,0.0020322760156891435,0.05805805805805806,1000,1000,999,"[0.4,0.7]",240000,42
popular_train,3,0.136,0.05333333333333333,0.136,0.05333333333333333,0.005475356029848306,0.05446229847654481,1000,1000,999,"[0.4,0.7]",240000,42
popular_train,5,0.205,0.0506,0.205,0.0506,0.008781220232633044,0.05232450056011453,1000,1000,999,"[0.4,0.7]",240000,42
popular_train,10,0.332,0.0504,0.332,0.0504,0.01777703281796196,0.05174716644881943,1000,1000,999,"[0.4,0.7]",240000,42
random,1,0.002,0.002,0.002,0.002,4.237041274078311e-05,0.002002002002002002,1000,1000,999,"[0.4,0.7]",240000,42
random,3,0.009,0.0029999999999999996,0.009,0.0029999999999999996,0.00023837878608805934,0.0027066247137478823,1000,1000,999,"[0.4,0.7]",240000,42
random,5,0.017,0.0036,0.017,0.0036,0.0006429111392419664,0.003212568080543771,1000,1000,999,"[0.4,0.7]",240000,42
random,10,0.033,0.0034000000000000002,0.033,0.0034000000000000002,0.0011069518335706846,0.0031765092605211404,1000,1000,999,"[0.4,0.7]",240000,42
