strategy,user_id,rank,problem_id,p_ac,difficulty,in_growth_band
easy_first,1,1,6526,,1,0
easy_first,1,2,7528,,1,0
easy_first,1,3,1078,,1,0
easy_first,1,4,3352,,1,0
easy_first,1,5,3371,,1,0
easy_first,1,6,4429,,1,0
easy_first,1,7,6933,,1,0
easy_first,1,8,8957,,1,0
easy_first,1,9,9336,,1,0
easy_first,1,10,1660,,1,0
easy_first,2,1,6526,,1,0
easy_first,2,2,7528,,1,0
easy_first,2,3,1078,,1,0
easy_first,2,4,3352,,1,0
easy_first,2,5,3371,,1,0
easy_first,2,6,4429,,1,0
easy_first,2,7,6933,,1,0
easy_first,2,8,8957,,1,0
easy_first,2,9,9336,,1,0
easy_first,2,10,1660,,1,0
easy_first,3,1,6526,,1,0
easy_first,3,2,7528,,1,0
easy_first,3,3,1078,,1,0
easy_first,3,4,3352,,1,0
easy_first,3,5,3371,,1,0
easy_first,3,6,4429,,1,0
easy_first,3,7,6933,,1,0
easy_first,3,8,8957,,1,0
easy_first,3,9,9336,,1,0
easy_first,3,10,1660,,1,0
easy_first,4,1,6526,,1,0
easy_first,4,2,7528,,1,0
easy_first,4,3,1078,,1,0
easy_first,4,4,3352,,1,0
easy_first,4,5,3371,,1,0
easy_first,4,6,4429,,1,0
easy_first,4,7,6933,,1,0
easy_first,4,8,9336,,1,0
easy_first,4,9,1660,,1,0
easy_first,4,10,3413,,1,0
easy_first,5,1,6526,,1,0
easy_first,5,2,7528,,1,0
easy_first,5,3,1078,,1,0
easy_first,5,4,3352,,1,0
easy_first,5,5,3371,,1,0
easy_first,5,6,4429,,1,0
easy_first,5,7,6933,,1,0
easy_first,5,8,8957,,1,0
easy_first,5,9,9336,,1,0
easy_first,5,10,1660,,1,0
easy_first,6,1,6526,,1,0
easy_first,6,2,7528,,1,0
easy_first,6,3,1078,,1,0
easy_first,6,4,3352,,1,0
easy_first,6,5,3371,,1,0
easy_first,6,6,4429,,1,0
easy_first,6,7,6933,,1,0
easy_first,6,8,8957,,1,0
easy_first,6,9,9336,,1,0
easy_first,6,10,1660,,1,0
easy_first,7,1,6526,,1,0
easy_first,7,2,7528,,1,0
easy_first,7,3,1078,,1,0
easy_first,7,4,3352,,1,0
easy_first,7,5,3371,,1,0
easy_first,7,6,4429,,1,0
easy_first,7,7,6933,,1,0
easy_first,7,8,8957,,1,0
easy_first,7,9,9336,,1,0
easy_first,7,10,1660,,1,0
easy_first,8,1,6526,,1,0
easy_first,8,2,7528,,1,0
easy_first,8,3,1078,,1,0
easy_first,8,4,3352,,1,0
easy_first,8,5,3371,,1,0
easy_first,8,6,4429,,1,0
easy_first,8,7,6933,,1,0
easy_first,8,8,8957,,1,0
easy_first,8,9,9336,,1,0
easy_first,8,10,1660,,1,0
easy_first,9,1,6526,,1,0
easy_first,9,2,7528,,1,0
easy_first,9,3,1078,,1,0
easy_first,9,4,3352,,1,0
easy_first,9,5,3371,,1,0
easy_first,9,6,4429,,1,0
easy_first,9,7,9336,,1,0
easy_first,9,8,1660,,1,0
easy_first,9,9,3413,,1,0
easy_first,9,10,5805,,1,0
easy_first,10,1,6526,,1,0
easy_first,10,2,7528,,1,0
easy_first,10,3,1078,,1,0
easy_first,10,4,3352,,1,0
easy_first,10,5,3371,,1,0
easy_first,10,6,4429,,1,0
easy_first,10,7,6933,,1,0
easy_first,10,8,8957,,1,0
easy_first,10,9,9336,,1,0
easy_first,10,10,1660,,1,0
easy_first,11,1,6526,,1,0
easy_first,11,2,7528,,1,0
easy_first,11,3,1078,,1,0
easy_first,11,4,3352,,1,0
easy_first,11,5,3371,,1,0
easy_first,11,6,4429,,1,0
easy_first,11,7,6933,,1,0
easy_first,11,8,8957,,1,0
easy_first,11,9,9336,,1,0
easy_first,11,10,1660,,1,0
easy_first,12,1,6526,,1,0
easy_first,12,2,7528,,1,0
easy_first,12,3,1078,,1,0
easy_first,12,4,3352,,1,0
easy_first,12,5,3371,,1,0
easy_first,12,6,4429,,1,0
easy_first,12,7,6933,,1,0
easy_first,12,8,8957,,1,0
easy_first,12,9,9336,,1,0
easy_first,12,10,1660,,1,0
easy_first,13,1,6526,,1,0
easy_first,13,2,7528,,1,0
easy_first,13,3,1078,,1,0
easy_first,13,4,3352,,1,0
easy_first,13,5,3371,,1,0
easy_first,13,6,4429,,1,0
easy_first,13,7,6933,,1,0
easy_first,13,8,8957,,1,0
easy_first,13,9,9336,,1,0
easy_first,13,10,1660,,1,0
easy_first,14,1,6526,,1,0
easy_first,14,2,7528,,1,0
easy_first,14,3,1078,,1,0
easy_first,14,4,3352,,1,0
easy_first,14,5,3371,,1,0
easy_first,14,6,4429,,1,0
easy_first,14,7,6933,,1,0
easy_first,14,8,8957,,1,0
easy_first,14,9,9336,,1,0
easy_first,14,10,1660,,1,0
easy_first,15,1,6526,,1,0
easy_first,15,2,7528,,1,0
easy_first,15,3,1078,,1,0
easy_first,15,4,3352,,1,0
easy_first,15,5,3371,,1,0
easy_first,15,6,4429,,1,0
easy_first,15,7,6933,,1,0
easy_first,15,8,8957,,1,0
easy_first,15,9,9336,,1,0
easy_first,15,10,1660,,1,0
easy_first,16,1,6526,,1,0
easy_first,16,2,7528,,1,0
easy_first,16,3,1078,,1,0
easy_first,16,4,3352,,1,0
easy_first,16,5,3371,,1,0
easy_first,16,6,4429,,1,0
easy_first,16,7,6933,,1,0
easy_first,16,8,8957,,1,0
easy_first,16,9,9336,,1,0
easy_first,16,10,1660,,1,0
easy_first,17,1,6526,,1,0
easy_first,17,2,7528,,1,0
easy_first,17,3,1078,,1,0
easy_first,17,4,3352,,1,0
easy_first,17,5,3371,,1,0
easy_first,17,6,4429,,1,0
easy_first,17,7,6933,,1,0
easy_first,17,8,8957,,1,0
easy_first,17,9,9336,,1,0
easy_first,17,10,1660,,1,0
easy_first,18,1,6526,,1,0
easy_first,18,2,7528,,1,0
easy_first,18,3,3352,,1,0
easy_first,18,4,3371,,1,0
easy_first,18,5,4429,,1,0
easy_first,18,6,6933,,1,0
easy_first,18,7,8957,,1,0
easy_first,18,8,9336,,1,0
easy_first,18,9,1660,,1,0
easy_first,18,10,3413,,1,0
easy_first,19,1,6526,,1,0
easy_first,19,2,7528,,1,0
easy_first,19,3,1078,,1,0
easy_first,19,4,3352,,1,0
easy_first,19,5,3371,,1,0
easy_first,19,6,4429,,1,0
easy_first,19,7,6933,,1,0
easy_first,19,8,8957,,1,0
easy_first,19,9,9336,,1,0
easy_first,19,10,1660,,1,0
easy_first,20,1,6526,,1,0
easy_first,20,2,7528,,1,0
easy_first,20,3,1078,,1,0
easy_first,20,4,3352,,1,0
easy_first,20,5,3371,,1,0
easy_first,20,6,4429,,1,0
easy_first,20,7,6933,,1,0
easy_first,20,8,8957,,1,0
easy_first,20,9,9336,,1,0
easy_first,20,10,1660,,1,0
easy_first,21,1,6526,,1,0
easy_first,21,2,7528,,1,0
easy_first,21,3,1078,,1,0
easy_first,21,4,3352,,1,0
easy_first,21,5,3371,,1,0
easy_first,21,6,4429,,1,0
easy_first,21,7,6933,,1,0
easy_first,21,8,8957,,1,0
easy_first,21,9,9336,,1,0
easy_first,21,10,1660,,1,0
easy_first,22,1,6526,,1,0
easy_first,22,2,7528,,1,0
easy_first,22,3,1078,,1,0
easy_first,22,4,3352,,1,0
easy_first,22,5,3371,,1,0
easy_first,22,6,4429,,1,0
easy_first,22,7,6933,,1,0
easy_first,22,8,8957,,1,0
easy_first,22,9,9336,,1,0
easy_first,22,10,1660,,1,0
easy_first,23,1,6526,,1,0
easy_first,23,2,7528,,1,0
easy_first,23,3,1078,,1,0
easy_first,23,4,3352,,1,0
easy_first,23,5,3371,,1,0
easy_first,23,6,4429,,1,0
easy_first,23,7,6933,,1,0
easy_first,23,8,8957,,1,0
easy_first,23,9,9336,,1,0
easy_first,23,10,1660,,1,0
easy_first,24,1,6526,,1,0
easy_first,24,2,7528,,1,0
easy_first,24,3,1078,,1,0
easy_first,24,4,3352,,1,0
easy_first,24,5,3371,,1,0
easy_first,24,6,4429,,1,0
easy_first,24,7,6933,,1,0
easy_first,24,8,8957,,1,0
easy_first,24,9,9336,,1,0
easy_first,24,10,1660,,1,0
easy_first,25,1,6526,,1,0
easy_first,25,2,7528,,1,0
easy_first,25,3,1078,,1,0
easy_first,25,4,3352,,1,0
easy_first,25,5,3371,,1,0
easy_first,25,6,4429,,1,0
easy_first,25,7,6933,,1,0
easy_first,25,8,8957,,1,0
easy_first,25,9,9336,,1,0
easy_first,25,10,1660,,1,0
easy_first,26,1,6526,,1,0
easy_first,26,2,7528,,1,0
easy_first,26,3,1078,,1,0
easy_first,26,4,3352,,1,0
easy_first,26,5,3371,,1,0
easy_first,26,6,4429,,1,0
easy_first,26,7,6933,,1,0
easy_first,26,8,8957,,1,0
easy_first,26,9,9336,,1,0
easy_first,26,10,1660,,1,0
easy_first,27,1,6526,,1,0
easy_first,27,2,7528,,1,0
easy_first,27,3,1078,,1,0
easy_first,27,4,3352,,1,0
easy_first,27,5,3371,,1,0
easy_first,27,6,4429,,1,0
easy_first,27,7,6933,,1,0
easy_first,27,8,8957,,1,0
easy_first,27,9,9336,,1,0
easy_first,27,10,1660,,1,0
easy_first,28,1,6526,,1,0
easy_first,28,2,7528,,1,0
easy_first,28,3,1078,,1,0
easy_first,28,4,3352,,1,0
easy_first,28,5,3371,,1,0
easy_first,28,6,4429,,1,0
easy_first,28,7,6933,,1,0
easy_first,28,8,8957,,1,0
easy_first,28,9,9336,,1,0
easy_first,28,10,1660,,1,0
easy_first,29,1,6526,,1,0
easy_first,29,2,7528,,1,0
easy_first,29,3,1078,,1,0
easy_first,29,4,3352,,1,0
easy_first,29,5,3371,,1,0
easy_first,29,6,4429,,1,0
easy_first,29,7,6933,,1,0
easy_first,29,8,8957,,1,0
easy_first,29,9,9336,,1,0
easy_first,29,10,1660,,1,0
easy_first,30,1,6526,,1,0
easy_first,30,2,7528,,1,0
easy_first,30,3,1078,,1,0
easy_first,30,4,3352,,1,0
easy_first,30,5,3371,,1,0
easy_first,30,6,4429,,1,0
easy_first,30,7,6933,,1,0
easy_first,30,8,8957,,1,0
easy_first,30,9,9336,,1,0
easy_first,30,10,1660,,1,0
easy_first,31,1,6526,,1,0
easy_first,31,2,7528,,1,0
easy_first,31,3,1078,,1,0
easy_first,31,4,3352,,1,0
easy_first,31,5,3371,,1,0
easy_first,31,6,4429,,1,0
easy_first,31,7,6933,,1,0
easy_first,31,8,8957,,1,0
easy_first,31,9,9336,,1,0
easy_first,31,10,1660,,1,0
easy_first,32,1,6526,,1,0
easy_first,32,2,7528,,1,0
easy_first,32,3,1078,,1,0
easy_first,32,4,3352,,1,0
easy_first,32,5,3371,,1,0
easy_first,32,6,4429,,1,0
easy_first,32,7,6933,,1,0
easy_first,32,8,8957,,1,0
easy_first,32,9,9336,,1,0
easy_first,32,10,1660,,1,0
easy_first,33,1,6526,,1,0
easy_first,33,2,7528,,1,0
easy_first,33,3,1078,,1,0
easy_first,33,4,3371,,1,0
easy_first,33,5,4429,,1,0
easy_first,33,6,6933,,1,0
easy_first,33,7,8957,,1,0
easy_first,33,8,9336,,1,0
easy_first,33,9,1660,,1,0
easy_first,33,10,3413,,1,0
easy_first,34,1,6526,,1,0
easy_first,34,2,7528,,1,0
easy_first,34,3,1078,,1,0
easy_first,34,4,3352,,1,0
easy_first,34,5,3371,,1,0
easy_first,34,6,4429,,1,0
easy_first,34,7,6933,,1,0
easy_first,34,8,8957,,1,0
easy_first,34,9,9336,,1,0
easy_first,34,10,1660,,1,0
easy_first,35,1,6526,,1,0
easy_first,35,2,7528,,1,0
easy_first,35,3,1078,,1,0
easy_first,35,4,3352,,1,0
easy_first,35,5,3371,,1,0
easy_first,35,6,4429,,1,0
easy_first,35,7,6933,,1,0
easy_first,35,8,8957,,1,0
easy_first,35,9,9336,,1,0
easy_first,35,10,1660,,1,0
easy_first,36,1,6526,,1,0
easy_first,36,2,7528,,1,0
easy_first,36,3,1078,,1,0
easy_first,36,4,3352,,1,0
easy_first,36,5,3371,,1,0
easy_first,36,6,4429,,1,0
easy_first,36,7,6933,,1,0
easy_first,36,8,8957,,1,0
easy_first,36,9,9336,,1,0
easy_first,36,10,1660,,1,0
easy_first,37,1,6526,,1,0
easy_first,37,2,7528,,1,0
easy_first,37,3,1078,,1,0
easy_first,37,4,3352,,1,0
easy_first,37,5,3371,,1,0
easy_first,37,6,4429,,1,0
easy_first,37,7,6933,,1,0
easy_first,37,8,8957,,1,0
easy_first,37,9,9336,,1,0
easy_first,37,10,1660,,1,0
easy_first,38,1,6526,,1,0
easy_first,38,2,7528,,1,0
easy_first,38,3,1078,,1,0
easy_first,38,4,3352,,1,0
easy_first,38,5,3371,,1,0
easy_first,38,6,4429,,1,0
easy_first,38,7,6933,,1,0
easy_first,38,8,8957,,1,0
easy_first,38,9,9336,,1,0
easy_first,38,10,1660,,1,0
easy_first,39,1,6526,,1,0
easy_first,39,2,7528,,1,0
easy_first,39,3,1078,,1,0
easy_first,39,4,3352,,1,0
easy_first,39,5,3371,,1,0
easy_first,39,6,4429,,1,0
easy_first,39,7,6933,,1,0
easy_first,39,8,8957,,1,0
easy_first,39,9,9336,,1,0
easy_first,39,10,1660,,1,0
easy_first,40,1,6526,,1,0
easy_first,40,2,7528,,1,0
easy_first,40,3,1078,,1,0
easy_first,40,4,3352,,1,0
easy_first,40,5,3371,,1,0
easy_first,40,6,4429,,1,0
easy_first,40,7,6933,,1,0
easy_first,40,8,8957,,1,0
easy_first,40,9,9336,,1,0
easy_first,40,10,1660,,1,0
easy_first,41,1,7528,,1,0
easy_first,41,2,1078,,1,0
easy_first,41,3,3352,,1,0
easy_first,41,4,3371,,1,0
easy_first,41,5,4429,,1,0
easy_first,41,6,6933,,1,0
easy_first,41,7,8957,,1,0
easy_first,41,8,9336,,1,0
easy_first,41,9,1660,,1,0
easy_first,41,10,3413,,1,0
easy_first,42,1,6526,,1,0
easy_first,42,2,7528,,1,0
easy_first,42,3,1078,,1,0
easy_first,42,4,3352,,1,0
easy_first,42,5,3371,,1,0
easy_first,42,6,4429,,1,0
easy_first,42,7,6933,,1,0
easy_first,42,8,8957,,1,0
easy_first,42,9,9336,,1,0
easy_first,42,10,1660,,1,0
easy_first,43,1,6526,,1,0
easy_first,43,2,7528,,1,0
easy_first,43,3,1078,,1,0
easy_first,43,4,3352,,1,0
easy_first,43,5,3371,,1,0
easy_first,43,6,4429,,1,0
easy_first,43,7,6933,,1,0
easy_first,43,8,9336,,1,0
easy_first,43,9,1660,,1,0
easy_first,43,10,3413,,1,0
easy_first,44,1,6526,,1,0
easy_first,44,2,7528,,1,0
easy_first,44,3,1078,,1,0
easy_first,44,4,3352,,1,0
easy_first,44,5,3371,,1,0
easy_first,44,6,4429,,1,0
easy_first,44,7,6933,,1,0
easy_first,44,8,8957,,1,0
easy_first,44,9,9336,,1,0
easy_first,44,10,1660,,1,0
easy_first,45,1,6526,,1,0
easy_first,45,2,7528,,1,0
easy_first,45,3,1078,,1,0
easy_first,45,4,3352,,1,0
easy_first,45,5,3371,,1,0
easy_first,45,6,4429,,1,0
easy_first,45,7,6933,,1,0
easy_first,45,8,8957,,1,0
easy_first,45,9,9336,,1,0
easy_first,45,10,1660,,1,0
easy_first,46,1,6526,,1,0
easy_first,46,2,7528,,1,0
easy_first,46,3,1078,,1,0
easy_first,46,4,3352,,1,0
easy_first,46,5,3371,,1,0
easy_first,46,6,4429,,1,0
easy_first,46,7,6933,,1,0
easy_first,46,8,8957,,1,0
easy_first,46,9,9336,,1,0
easy_first,46,10,1660,,1,0
easy_first,47,1,6526,,1,0
easy_first,47,2,7528,,1,0
easy_first,47,3,1078,,1,0
easy_first,47,4,3352,,1,0
easy_first,47,5,3371,,1,0
easy_first,47,6,4429,,1,0
easy_first,47,7,6933,,1,0
easy_first,47,8,8957,,1,0
easy_first,47,9,9336,,1,0
easy_first,47,10,1660,,1,0
easy_first,48,1,6526,,1,0
easy_first,48,2,7528,,1,0
easy_first,48,3,1078,,1,0
easy_first,48,4,3352,,1,0
easy_first,48,5,3371,,1,0
easy_first,48,6,4429,,1,0
easy_first,48,7,6933,,1,0
easy_first,48,8,8957,,1,0
easy_first,48,9,9336,,1,0
easy_first,48,10,1660,,1,0
easy_first,49,1,6526,,1,0
easy_first,49,2,7528,,1,0
easy_first,49,3,1078,,1,0
easy_first,49,4,3352,,1,0
easy_first,49,5,3371,,1,0
easy_first,49,6,4429,,1,0
easy_first,49,7,6933,,1,0
easy_first,49,8,8957,,1,0
easy_first,49,9,9336,,1,0
easy_first,49,10,1660,,1,0
easy_first,50,1,6526,,1,0
easy_first,50,2,7528,,1,0
easy_first,50,3,1078,,1,0
easy_first,50,4,3352,,1,0
easy_first,50,5,3371,,1,0
easy_first,50,6,4429,,1,0
easy_first,50,7,6933,,1,0
easy_first,50,8,8957,,1,0
easy_first,50,9,9336,,1,0
easy_first,50,10,1660,,1,0
easy_first,51,1,6526,,1,0
easy_first,51,2,7528,,1,0
easy_first,51,3,1078,,1,0
easy_first,51,4,3352,,1,0
